date,close,us_stock_index,eu_stock_index,de_stock_index,eu_interest_rate,de_interest_rate,us_inflation_rate,eu_inflation_rate,fed_exchange_rate
2019-09-03 16:00:00,0.00305,2906.27,3027.5,11910.86,0.25,-0.65,1.29,1.0,2.13
2019-09-03 20:00:00,0.00031,2906.27,3046.5,11910.86,0.25,-0.65,1.29,1.0,2.13
2019-09-04 00:00:00,8e-05,2906.27,3064.5,12025.04,0.25,-0.65,1.31,1.0,2.13
2019-09-04 04:00:00,5e-05,2906.27,3061.5,12025.04,0.25,-0.65,1.31,1.0,2.13
2019-09-04 08:00:00,0.00325,2933.18,3057.5,12025.04,0.25,-0.65,1.31,1.0,2.13
2019-09-04 12:00:00,0.00093,2937.61,3062.5,12025.04,0.25,-0.65,1.31,1.0,2.13
2019-09-04 16:00:00,0.00094,2937.78,3072.5,12025.04,0.25,-0.65,1.31,1.0,2.13
2019-09-04 20:00:00,0.0009,2937.78,3092.5,12025.04,0.25,-0.65,1.31,1.0,2.13
2019-09-05 00:00:00,-7e-05,2937.78,3084.5,12126.78,0.25,-0.65,1.35,1.0,2.13
2019-09-05 04:00:00,-0.00073,2937.78,3090.5,12126.78,0.25,-0.65,1.35,1.0,2.13
2019-09-05 08:00:00,0.00106,2976.75,3087.5,12126.78,0.25,-0.65,1.35,1.0,2.13
2019-09-05 12:00:00,0.00223,2975.62,3088.5,12126.78,0.25,-0.65,1.35,1.0,2.13
2019-09-05 16:00:00,-0.00187,2976.0,3091.5,12126.78,0.25,-0.65,1.35,1.0,2.13
2019-09-05 20:00:00,-0.0007,2976.0,3088.5,12126.78,0.25,-0.65,1.35,1.0,2.13
2019-09-06 00:00:00,-0.00041,2976.0,3091.5,12191.73,0.25,-0.65,1.35,1.0,2.12
2019-09-06 04:00:00,0.00077,2976.0,3096.5,12191.73,0.25,-0.65,1.35,1.0,2.12
2019-09-06 08:00:00,-6e-05,2979.89,3100.5,12191.73,0.25,-0.65,1.35,1.0,2.12
2019-09-06 12:00:00,0.0003,2979.43,3095.5,12191.73,0.25,-0.65,1.35,1.0,2.12
2019-09-06 16:00:00,-0.00048,2978.71,3095.5,12191.73,0.25,-0.65,1.35,1.0,2.12
2019-09-06 20:00:00,-0.00107,2978.71,3095.5,12191.73,0.25,-0.65,1.35,1.0,2.12
2019-09-09 00:00:00,-0.00071,2978.71,3104.5,12226.1,0.25,-0.65,1.38,1.0,2.13
2019-09-09 04:00:00,0.00098,2978.71,3104.5,12226.1,0.25,-0.65,1.38,1.0,2.13
2019-09-09 08:00:00,0.00065,2982.39,3096.5,12226.1,0.25,-0.65,1.38,1.0,2.13
2019-09-09 12:00:00,0.00095,2978.71,3102.5,12226.1,0.25,-0.65,1.38,1.0,2.13
2019-09-09 16:00:00,0.00164,2978.43,3106.5,12226.1,0.25,-0.65,1.38,1.0,2.13
2019-09-09 20:00:00,-0.00119,2978.43,3099.5,12226.1,0.25,-0.65,1.38,1.0,2.13
2019-09-10 00:00:00,-0.00048,2978.43,3091.5,12268.71,0.25,-0.65,1.4,1.0,2.13
2019-09-10 04:00:00,-1e-05,2978.43,3100.5,12268.71,0.25,-0.65,1.4,1.0,2.13
2019-09-10 08:00:00,-0.00044,2966.22,3116.5,12268.71,0.25,-0.65,1.4,1.0,2.13
2019-09-10 12:00:00,0.00015,2978.8,3109.5,12268.71,0.25,-0.65,1.4,1.0,2.13
2019-09-10 16:00:00,0.0001,2979.39,3105.5,12268.71,0.25,-0.65,1.4,1.0,2.13
2019-09-10 20:00:00,0.00023,2979.39,3117.5,12268.71,0.25,-0.65,1.4,1.0,2.13
2019-09-11 00:00:00,0.00036,2979.39,3122.5,12359.07,0.25,-0.65,1.4,1.0,2.13
2019-09-11 04:00:00,0.00059,2979.39,3120.5,12359.07,0.25,-0.65,1.4,1.0,2.13
2019-09-11 08:00:00,-0.00272,2991.42,3125.5,12359.07,0.25,-0.65,1.4,1.0,2.13
2019-09-11 12:00:00,-0.0025,3000.02,3128.5,12359.07,0.25,-0.65,1.4,1.0,2.13
2019-09-11 16:00:00,0.00066,3000.93,3143.5,12359.07,0.25,-0.65,1.4,1.0,2.13
2019-09-11 20:00:00,0.00031,3000.93,3145.5,12359.07,0.25,-0.65,1.4,1.0,2.13
2019-09-12 00:00:00,3e-05,3000.93,3130.5,12410.25,0.25,-0.65,1.43,1.0,2.13
2019-09-12 04:00:00,0.00035,3000.93,3157.5,12410.25,0.25,-0.65,1.43,1.0,2.13
2019-09-12 08:00:00,0.00129,3014.91,3148.5,12410.25,0.25,-0.65,1.43,1.0,2.13
2019-09-12 12:00:00,-0.00811,3009.86,3148.5,12410.25,0.25,-0.65,1.43,1.0,2.13
2019-09-12 16:00:00,0.01219,3009.57,3150.5,12410.25,0.25,-0.65,1.43,1.0,2.13
2019-09-12 20:00:00,-0.00034,3009.57,3149.5,12410.25,0.25,-0.65,1.43,1.0,2.13
2019-09-13 00:00:00,-1e-05,3009.57,3152.5,12468.53,0.25,-0.65,1.46,1.0,2.14
2019-09-13 04:00:00,0.0005,3009.57,3155.5,12468.53,0.25,-0.65,1.46,1.0,2.14
2019-09-13 08:00:00,0.00227,3011.69,3151.5,12468.53,0.25,-0.65,1.46,1.0,2.14
2019-09-13 12:00:00,-0.00043,3006.8,3151.5,12468.53,0.25,-0.65,1.46,1.0,2.14
2019-09-13 16:00:00,-0.00117,3007.39,3151.5,12468.53,0.25,-0.65,1.46,1.0,2.14
2019-09-13 20:00:00,-0.00062,3007.39,3151.5,12468.53,0.25,-0.65,1.46,1.0,2.14
2019-09-16 00:00:00,0.00058,3007.39,3137.5,12380.31,0.25,-0.65,1.48,1.0,2.25
2019-09-16 04:00:00,-0.00023,3007.39,3136.5,12380.31,0.25,-0.65,1.48,1.0,2.25
2019-09-16 08:00:00,-0.00138,2991.16,3131.5,12380.31,0.25,-0.65,1.48,1.0,2.25
2019-09-16 12:00:00,-0.0033,2997.9,3130.5,12380.31,0.25,-0.65,1.48,1.0,2.25
2019-09-16 16:00:00,-0.0024,2997.96,3133.5,12380.31,0.25,-0.65,1.48,1.0,2.25
2019-09-16 20:00:00,-0.00021,2997.96,3130.5,12380.31,0.25,-0.65,1.48,1.0,2.25
2019-09-17 00:00:00,0.00085,2997.96,3128.5,12372.61,0.25,-0.65,1.46,1.0,2.3
2019-09-17 04:00:00,0.0004,2997.96,3118.5,12372.61,0.25,-0.65,1.46,1.0,2.3
2019-09-17 08:00:00,0.00013,2998.76,3126.5,12372.61,0.25,-0.65,1.46,1.0,2.3
