date,close,MA10,MACD,ROC,Momentum,RSI,Bollinger_Up,Bollinger_Down,CCI
2015-02-09 12:00:00,-0.00504,1.13712,-0.00147,-0.38282,-0.00167,33.408,1.14915,1.12509,-1.29188
2015-02-09 16:00:00,0.00343,1.13577,-0.00162,-0.14193,-0.00012,41.87723,1.1478,1.12374,-0.49713
2015-02-09 20:00:00,-0.00044,1.13434,-0.00175,0.26475,-0.00135,41.13162,1.14635,1.12233,-0.33306
2015-02-10 00:00:00,0.00045,1.13308,-0.0018,0.00088,-0.0016,42.29906,1.14515,1.12101,-0.04805
2015-02-10 04:00:00,0.00059,1.13248,-0.00177,0.09185,0.00403,43.91924,1.14461,1.12035,0.14844
2015-02-10 08:00:00,-0.00496,1.13211,-0.00212,-0.38577,-0.00436,34.79352,1.1448,1.11942,-0.58136
2015-02-10 12:00:00,0.00108,1.13195,-0.00229,-0.34234,-0.00284,37.91458,1.14505,1.11885,-0.37417
2015-02-10 16:00:00,0.00165,1.13178,-0.00226,0.24193,-0.00164,42.58001,1.14506,1.1185,-0.09485
2015-02-10 20:00:00,0.00082,1.13161,-0.00215,0.21868,-0.00141,44.86769,1.14471,1.11851,0.05494
2015-02-11 00:00:00,0.0009,1.13145,-0.00196,0.15206,0.00445,47.42227,1.14386,1.11904,0.22891
2015-02-11 04:00:00,-0.00119,1.13169,-0.00189,-0.02562,0.00218,44.39984,1.14271,1.12067,-0.00182
2015-02-11 08:00:00,0.00059,1.13164,-0.00177,-0.05296,0.00112,46.28577,1.14116,1.12212,0.13234
2015-02-11 12:00:00,-0.00082,1.13155,-0.00171,-0.02032,-0.00052,43.98197,1.1389,1.1242,-0.0272
2015-02-11 16:00:00,-0.0021,1.1312,-0.00182,-0.25789,-0.00352,38.52554,1.13585,1.12655,-0.79553
2015-02-11 20:00:00,0.00416,1.13122,-0.00155,0.18207,0.00183,51.71144,1.13448,1.12796,1.40408
2015-02-12 00:00:00,-0.00187,1.13154,-0.00147,0.20277,-0.00063,46.70755,1.1348,1.12828,0.06137
2015-02-12 04:00:00,-4e-05,1.13175,-0.0014,-0.1685,0.00015,46.60038,1.13499,1.12851,-0.09262
2015-02-12 08:00:00,0.00277,1.13207,-0.0011,0.24124,0.00502,54.61353,1.13547,1.12867,1.35227
2015-02-12 12:00:00,0.00064,1.13238,-0.0008,0.30134,0.0015,56.29711,1.13597,1.12879,1.46446
2015-02-12 16:00:00,0.00368,1.13296,-0.00027,0.38083,0.00705,64.67,1.13754,1.12838,2.50422
2015-02-12 20:00:00,0.00153,1.13381,0.00027,0.45903,0.00862,67.54263,1.13942,1.1282,2.28411
2015-02-13 00:00:00,-0.00032,1.13457,0.00067,0.10626,0.00553,66.29007,1.14103,1.12811,1.65014
2015-02-13 04:00:00,0.00396,1.13582,0.00129,0.31924,0.00885,73.13931,1.14386,1.12778,2.00124
2015-02-13 08:00:00,-0.00071,1.1372,0.00171,0.28511,0.00446,70.29404,1.14626,1.12814,1.31303
2015-02-13 12:00:00,-0.00414,1.13775,0.00168,-0.424,-0.00121,56.14353,1.14705,1.12845,0.2709
2015-02-13 16:00:00,0.00171,1.13865,0.00178,-0.21257,0.00082,59.85259,1.14789,1.12941,0.44798
2015-02-13 20:00:00,-0.00153,1.13941,0.00171,0.0158,-0.00467,55.21058,1.14843,1.13039,-0.04878
2015-02-16 00:00:00,0.00161,1.14006,0.00177,0.00701,-0.00235,58.93444,1.14911,1.13101,0.16346
2015-02-16 04:00:00,0.00052,1.14069,0.00184,0.18697,0.00231,60.1242,1.14982,1.13156,0.13802
2015-02-16 08:00:00,-0.00102,1.14085,0.00178,-0.04383,-0.00042,56.55316,1.14996,1.13174,-0.12079
2015-02-16 12:00:00,0.00021,1.14088,0.00174,-0.07097,0.00132,57.13556,1.14977,1.13199,-0.0832
2015-02-16 16:00:00,-0.00485,1.14045,0.0013,-0.40691,-0.00514,42.51201,1.14906,1.13184,-1.11238
2015-02-16 20:00:00,-0.00038,1.13959,0.00091,-0.45857,-0.00604,41.58542,1.1478,1.13138,-1.05054
2015-02-17 00:00:00,-0.00162,1.13864,0.00047,-0.17611,-0.00664,37.69377,1.14612,1.13116,-1.33238
2015-02-17 04:00:00,0.00276,1.13839,0.00033,0.10042,-0.00409,47.07033,1.14561,1.13117,-0.54549
2015-02-17 08:00:00,0.00213,1.13817,0.00039,0.43135,0.00289,53.11995,1.14473,1.13161,0.11586
2015-02-17 12:00:00,0.00295,1.1384,0.00067,0.44702,0.00622,60.13211,1.14425,1.13255,1.05962
2015-02-17 16:00:00,0.00021,1.13849,0.0009,0.27755,0.00805,60.59827,1.14406,1.13292,1.15679
2015-02-17 20:00:00,-0.00071,1.13846,0.00101,-0.0438,0.00458,58.04851,1.1437,1.13322,0.97018
2015-02-18 00:00:00,-0.0012,1.13841,0.00099,-0.16729,0.00125,53.79761,1.14363,1.13319,0.53254
2015-02-18 04:00:00,0.00121,1.13846,0.00106,0.00088,-0.00049,57.30086,1.14371,1.13321,0.97125
2015-02-18 08:00:00,-0.00175,1.13882,0.00096,-0.04738,-0.00245,51.07722,1.14407,1.13357,0.16753
2015-02-18 12:00:00,-0.00191,1.13903,0.00072,-0.32077,-0.00365,45.13258,1.14398,1.13408,-0.67898
2015-02-18 16:00:00,-0.00315,1.13908,0.00028,-0.44415,-0.0056,37.19907,1.14418,1.13398,-1.91269
2015-02-18 20:00:00,0.00542,1.1394,0.00035,0.19959,-0.00139,52.99555,1.14451,1.13429,0.08604
2015-02-19 00:00:00,0.00197,1.1397,0.00057,0.65156,0.00233,57.33007,1.14489,1.13451,0.72785
2015-02-19 04:00:00,0.00033,1.13975,0.00076,0.20182,0.00457,58.05008,1.14511,1.13439,0.80937
2015-02-19 08:00:00,-0.00244,1.13952,0.0007,-0.18483,0.00528,50.9825,1.14482,1.13422,-0.01508
2015-02-19 12:00:00,-0.00255,1.13912,0.00045,-0.43698,-0.00269,44.66758,1.14439,1.13385,-0.8319
2015-02-19 16:00:00,0.0006,1.13889,0.00029,-0.17113,-0.00406,46.40319,1.14413,1.13365,-0.51877
2015-02-19 20:00:00,-0.00079,1.13846,0.0001,-0.01671,-0.00518,44.36723,1.14369,1.13323,-0.65742
2015-02-20 00:00:00,0.0001,1.13822,-4e-05,-0.06066,-0.00264,44.70843,1.14335,1.13309,-0.53852
2015-02-20 04:00:00,-0.00041,1.13813,-0.00018,-0.02727,-0.0005,43.49324,1.14313,1.13313,-0.68051
