Time,Open,High,Low,Last,Change,%Chg,Volume
02/17/2006,1289.38,1289.47,1284.07,1287.24,-2.14,-0.17%,0
02/16/2006,1280,1289.39,1280,1289.38,9.38,+0.73%,0
02/15/2006,1275.53,1281,1271.06,1280,4.47,+0.35%,0
02/14/2006,1262.86,1278.21,1260.8,1275.53,12.67,+1.00%,0
02/13/2006,1266.99,1266.99,1258.34,1262.86,-4.13,-0.33%,0
02/10/2006,1263.82,1269.89,1254.98,1266.99,3.21,+0.25%,0
02/09/2006,1265.65,1274.56,1262.8,1263.78,-1.87,-0.15%,0
02/08/2006,1254.78,1266.47,1254.78,1265.65,10.87,+0.87%,0
02/07/2006,1265.02,1265.78,1253.61,1254.78,-10.24,-0.81%,0
02/06/2006,1264.03,1267.04,1261.62,1265.02,0.99,+0.08%,0
02/03/2006,1270.84,1270.87,1261.02,1264.03,-6.81,-0.54%,0
02/02/2006,1282.46,1282.46,1267.72,1270.84,-11.62,-0.91%,0
02/01/2006,1280.08,1283.33,1277.57,1282.46,2.38,+0.19%,0
01/31/2006,1285.2,1285.2,1276.85,1280.08,-5.11,-0.40%,0
01/30/2006,1283.72,1287.94,1283.51,1285.19,1.47,+0.11%,0
01/27/2006,1273.83,1286.38,1273.83,1283.72,9.89,+0.78%,0
01/26/2006,1264.68,1276.44,1264.68,1273.83,9.15,+0.72%,0
01/25/2006,1266.86,1271.87,1259.42,1264.68,-2.18,-0.17%,0
01/24/2006,1263.82,1271.47,1263.82,1266.86,3.04,+0.24%,0
01/23/2006,1261.49,1268.19,1261.49,1263.82,2.33,+0.18%,0
01/20/2006,1285.04,1285.04,1260.92,1261.49,-23.55,-1.83%,0
01/19/2006,1277.93,1287.79,1277.93,1285.04,7.11,+0.56%,0
01/18/2006,1282.93,1282.93,1272.08,1277.93,-5.1,-0.40%,0
01/17/2006,1287.61,1287.61,1278.61,1283.03,-4.58,-0.36%,0
01/13/2006,1286.06,1288.96,1282.78,1287.61,1.55,+0.12%,0
01/12/2006,1294.18,1294.18,1285.04,1286.06,-8.12,-0.63%,0
01/11/2006,1289.72,1294.9,1288.12,1294.18,4.49,+0.35%,0
01/10/2006,1290.15,1290.15,1283.76,1289.69,-0.46,-0.04%,0
01/09/2006,1285.45,1290.78,1284.82,1290.15,4.7,+0.37%,0
01/06/2006,1273.48,1286.09,1273.48,1285.45,11.97,+0.94%,0
01/05/2006,1273.46,1276.91,1270.3,1273.48,0.02,0.00%,0
01/04/2006,1268.8,1275.37,1267.74,1273.46,4.66,+0.37%,0
01/03/2006,1248.29,1270.22,1245.74,1268.8,20.51,+1.64%,0
12/30/2005,1254.42,1254.42,1246.59,1248.29,-6.13,-0.49%,0
12/29/2005,1258.17,1260.61,1254.18,1254.42,-3.75,-0.30%,0
12/28/2005,1256.54,1261.1,1256.54,1258.17,1.63,+0.13%,0
12/27/2005,1268.66,1271.83,1256.54,1256.54,-12.12,-0.96%,0
12/23/2005,1268.12,1269.76,1265.92,1268.66,0.54,+0.04%,0
12/22/2005,1262.79,1268.19,1262.5,1268.12,5.33,+0.42%,0
12/21/2005,1259.62,1269.37,1259.62,1262.79,3.17,+0.25%,0
12/20/2005,1259.92,1263.86,1257.21,1259.62,-0.3,-0.02%,0
12/19/2005,1267.32,1270.51,1259.28,1259.92,-7.4,-0.58%,0
12/16/2005,1270.94,1275.24,1267.32,1267.32,-3.62,-0.28%,0
12/15/2005,1272.74,1275.17,1267.74,1270.94,-1.8,-0.14%,0
12/14/2005,1267.43,1275.8,1267.07,1272.74,5.31,+0.42%,0
12/13/2005,1260.43,1272.11,1258.56,1267.43,7,+0.56%,0
12/12/2005,1259.37,1263.86,1255.52,1260.43,1.06,+0.08%,0
12/09/2005,1255.84,1263.08,1254.24,1259.37,3.53,+0.28%,0
12/08/2005,1257.37,1263.36,1250.91,1255.84,-1.53,-0.12%,0
12/07/2005,1263.7,1264.85,1253.02,1257.37,-6.33,-0.50%,0
12/06/2005,1262.09,1272.89,1262.09,1263.7,1.61,+0.13%,0
12/05/2005,1265.08,1265.08,1258.12,1262.09,-2.99,-0.24%,0
12/02/2005,1264.67,1266.85,1261.42,1265.08,0.41,+0.03%,0
12/01/2005,1249.48,1266.17,1249.48,1264.67,15.19,+1.22%,0
11/30/2005,1257.48,1260.93,1249.39,1249.48,-8.,-0.64%,0
11/29/2005,1257.46,1266.18,1257.46,1257.48,0.02,0.00%,0
11/28/2005,1268.25,1268.44,1257.17,1257.46,-10.79,-0.85%,0
11/25/2005,1265.61,1268.78,1265.54,1268.25,2.64,+0.21%,0
11/23/2005,1261.23,1270.64,1259.51,1265.61,4.38,+0.35%,0
11/22/2005,1254.85,1261.9,1251.4,1261.23,6.38,+0.51%,0
11/21/2005,1248.27,1255.89,1246.9,1254.85,6.58,+0.53%,0
11/18/2005,1242.8,1249.58,1240.71,1248.27,5.47,+0.44%,0
11/17/2005,1231.21,1242.96,1231.21,1242.8,11.59,+0.94%,0
11/16/2005,1229.01,1232.24,1227.18,1231.21,2.2,+0.18%,0
11/15/2005,1233.76,1237.94,1226.41,1229.01,-4.75,-0.39%,0
11/14/2005,1234.72,1237.2,1231.78,1233.76,-0.96,-0.08%,0
11/11/2005,1230.96,1235.7,1230.72,1234.72,3.76,+0.31%,0
11/10/2005,1220.65,1232.41,1215.05,1230.96,10.31,+0.84%,0
11/09/2005,1218.59,1226.59,1216.53,1220.65,2.06,+0.17%,0
11/08/2005,1222.81,1222.81,1216.08,1218.59,-4.22,-0.35%,0
11/07/2005,1220.14,1224.18,1217.29,1222.81,2.67,+0.22%,0
11/04/2005,1219.94,1222.52,1214.45,1220.14,0.2,+0.02%,0
11/03/2005,1214.76,1224.7,1214.76,1219.94,5.18,+0.43%,0
11/02/2005,1202.76,1215.17,1201.07,1214.76,12,+1.00%,0
11/01/2005,1207.01,1207.34,1201.66,1202.76,-4.25,-0.35%,0
10/31/2005,1198.41,1211.43,1198.41,1207.01,8.6,+0.72%,0
10/28/2005,1178.9,1198.41,1178.9,1198.41,19.51,+1.65%,0
10/27/2005,1191.38,1192.65,1178.89,1178.9,-12.48,-1.05%,0
10/26/2005,1196.54,1204.01,1191.38,1191.38,-5.16,-0.43%,0
10/25/2005,1199.38,1201.3,1189.29,1196.54,-2.84,-0.24%,0
10/24/2005,1179.59,1199.39,1179.59,1199.38,19.79,+1.68%,0
10/21/2005,1177.8,1186.46,1174.92,1179.59,1.79,+0.15%,0
10/20/2005,1195.76,1197.3,1173.3,1177.8,-17.96,-1.50%,0
10/19/2005,1178.14,1195.76,1170.55,1195.76,17.62,+1.50%,0
10/18/2005,1190.1,1190.1,1178.13,1178.14,-11.96,-1.00%,0
10/17/2005,1186.57,1191.21,1184.48,1190.1,3.53,+0.30%,0
10/14/2005,1176.84,1187.13,1175.44,1186.57,9.73,+0.83%,0
10/13/2005,1177.68,1179.56,1168.2,1176.84,-0.84,-0.07%,0
10/12/2005,1184.87,1190.02,1173.65,1177.68,-7.19,-0.61%,0
10/11/2005,1187.33,1193.1,1183.16,1184.87,-2.46,-0.21%,0
10/10/2005,1195.9,1196.52,1186.12,1187.33,-8.57,-0.72%,0
10/07/2005,1191.49,1199.71,1191.46,1195.9,4.41,+0.37%,0
10/06/2005,1196.39,1202.14,1181.92,1191.49,-4.9,-0.41%,0
10/05/2005,1214.47,1214.47,1196.25,1196.39,-18.08,-1.49%,0
10/04/2005,1226.7,1229.88,1214.02,1214.47,-12.23,-1.00%,0
10/03/2005,1228.81,1233.34,1225.15,1226.7,-2.11,-0.17%,0
09/30/2005,1227.68,1229.57,1225.22,1228.81,1.13,+0.09%,0
09/29/2005,1216.89,1228.7,1211.54,1227.68,10.79,+0.89%,0
09/28/2005,1215.66,1220.98,1212.72,1216.89,1.23,+0.10%,0
09/27/2005,1215.63,1220.17,1211.11,1215.66,0.03,0.00%,0
09/26/2005,1215.29,1222.56,1211.84,1215.63,0.34,+0.03%,0
09/23/2005,1214.62,1218.83,1209.8,1215.29,0.67,+0.06%,0
09/22/2005,1210.2,1216.64,1205.35,1214.62,4.42,+0.37%,0
09/21/2005,1221.34,1221.52,1209.89,1210.2,-11.14,-0.91%,0
09/20/2005,1231.02,1236.49,1220.07,1221.34,-9.68,-0.79%,0
09/19/2005,1237.91,1237.91,1227.65,1231.02,-6.89,-0.56%,0
09/16/2005,1228.42,1237.95,1228.42,1237.91,10.18,+0.83%,0
09/15/2005,1227.16,1231.88,1224.85,1227.73,0.57,+0.05%,0
09/14/2005,1231.2,1234.74,1226.16,1227.16,-4.04,-0.33%,0
09/13/2005,1240.57,1240.57,1231.2,1231.2,-9.36,-0.75%,0
09/12/2005,1241.48,1242.6,1239.15,1240.56,-0.92,-0.07%,0
09/09/2005,1231.67,1243.13,1231.67,1241.48,9.81,+0.80%,0
09/08/2005,1236.36,1236.36,1229.51,1231.67,-4.69,-0.38%,0
