Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
FXU04,07/20/2004,1175.5,1197.5,1156.5,1195.5,24,+2.05%,397917,1254831
FXU04,07/19/2004,1191.5,1198.5,1166.5,1171.5,-20.,-1.68%,388555,1245429
FXU04,07/16/2004,1198.5,1218.5,1186.5,1191.5,-14.,-1.16%,310402,1247264
FXU04,07/15/2004,1231.5,1238.5,1194.5,1205.5,-34.,-2.74%,364761,1256557
FXU04,07/14/2004,1228.5,1245.5,1212.5,1239.5,-8.,-0.64%,505054,1256972
FXU04,07/13/2004,1258.5,1260.5,1244.5,1247.5,3,+0.24%,436945,1251802
FXU04,07/12/2004,1251.5,1273.5,1240.5,1244.5,-14.,-1.11%,290636,1279148
FXU04,07/09/2004,1242.5,1267.5,1234.5,1258.5,4,+0.32%,285308,1278270
FXU04,07/08/2004,1243.5,1264.5,1228.5,1254.5,-2.,-0.16%,348689,1243226
FXU04,07/07/2004,1252.5,1262.5,1244.5,1256.5,10,+0.80%,470844,1247804
FXU04,07/06/2004,1278.5,1278.5,1239.5,1246.5,-29.,-2.27%,354276,1250833
FXU04,07/05/2004,1269.5,1280.5,1266.5,1275.5,1,+0.08%,411570,1248272
FXU04,07/02/2004,1277.5,1288.5,1260.5,1274.5,-2.,-0.16%,106074,1274690
FXU04,07/01/2004,1313.5,1330.5,1273.5,1276.5,-22.,-1.69%,376527,1280959
FXU04,06/30/2004,1314.5,1325.5,1293.5,1298.5,-15.,-1.14%,452987,1264762
FXU04,06/29/2004,1311.5,1320.5,1302.5,1313.5,-6.,-0.45%,285325,1252389
FXU04,06/28/2004,1301.5,1334.5,1295.5,1319.5,24,+1.85%,257083,1245610
FXU04,06/25/2004,1304.5,1314.5,1292.5,1295.5,-9.,-0.69%,358208,1224990
FXU04,06/24/2004,1306.5,1319.5,1297.5,1304.5,15,+1.16%,241278,1206227
FXU04,06/23/2004,1282.5,1295.5,1273.5,1289.5,16,+1.26%,397812,1207883
FXU04,06/22/2004,1291.5,1296.5,1259.5,1273.5,-29.,-2.23%,280086,1239466
FXU04,06/21/2004,1314.5,1319.5,1292.5,1302.5,0,0.00%,366781,1217697
FXU04,06/18/2004,1280.5,1308.5,1275.5,1302.5,7,+0.54%,295751,1197435
